Season,Player,Club,Position,Minutes,Goals,Assists,YellowCards,RedCards,CleanSheets,Threat,Creativity,Influence
2016-17,David Ospina,Arsenal,Goalkeeper,143,0,0,0,0,0,0.0,0.0,28.8
2016-17,Petr Cech,Arsenal,Goalkeeper,3097,0,0,2,0,12,0.0,0.1,819.8
2016-17,Laurent Koscielny,Arsenal,Defender,2821,2,1,4,1,10,239.0,53.9,831.2
2016-17,Per Mertesacker,Arsenal,Defender,38,0,0,0,0,0,0.0,0.1,17.8
2016-17,Gabriel Armando de Abreu,Arsenal,Defender,1517,0,0,6,0,5,119.0,84.5,295.8
2016-17,Héctor Bellerín,Arsenal,Defender,2503,1,5,4,0,10,395.0,508.3,437.6
2016-17,Kieran Gibbs,Arsenal,Defender,702,0,1,3,0,6,117.0,171.4,142.4
2016-17,Mathieu Debuchy,Arsenal,Defender,15,0,0,0,0,0,0.0,1.4,1.0
2016-17,Carl Jenkinson,Arsenal,Defender,82,0,0,0,0,0,0.0,2.0,19.4
2016-17,Nacho Monreal,Arsenal,Defender,3153,0,3,5,0,11,220.0,280.3,554.0
2016-17,Calum Chambers,Middlesbrough,Defender,2250,2,1,4,0,7,80.0,107.0,692.2
2016-17,Alexis Sánchez,Arsenal,Midfielder,3217,24,11,6,0,13,1896.0,1278.3,1357.8
2016-17,Theo Walcott,Arsenal,Midfielder,1916,10,3,1,0,8,1023.0,280.5,541.8
2016-17,Mesut Özil,Arsenal,Midfielder,2841,8,11,2,0,12,734.0,1649.3,834.4
2016-17,Santiago Cazorla,Arsenal,Midfielder,618,2,2,2,0,4,89.0,221.7,198.2
2016-17,Aaron Ramsey,Arsenal,Midfielder,1236,1,4,3,0,4,496.0,361.2,257.2
2016-17,Jack Wilshere,Bournemouth,Midfielder,1950,0,3,4,0,5,321.0,544.4,308.4
2016-17,Alex Oxlade-Chamberlain,Arsenal,Midfielder,1564,2,7,1,0,4,416.0,519.9,435.4
2016-17,Serge Gnabry,Arsenal,Midfielder,0,0,0,0,0,0,0.0,0.0,0.0
2016-17,Francis Coquelin,Arsenal,Midfielder,1779,0,1,5,0,5,117.0,314.1,291.6
2016-17,Alex Iwobi,Arsenal,Midfielder,1456,3,5,1,0,9,592.0,467.8,326.4
2016-17,Mohamed Elneny,Arsenal,Midfielder,694,0,1,1,0,3,116.0,108.6,89.0
2016-17,Joel Campbell,Arsenal,Midfielder,0,0,0,0,0,0,0.0,0.0,0.0
2016-17,Granit Xhaka,Arsenal,Midfielder,2483,2,3,5,2,10,193.0,626.2,488.8
2016-17,Olivier Giroud,Arsenal,Forward,1206,12,5,2,0,4,797.0,275.1,522.6
2016-17,Danny Welbeck,Arsenal,Forward,748,2,2,0,0,3,321.0,89.9,144.8
2016-17,Yaya Sanogo,Arsenal,Forward,0,0,0,0,0,0,0.0,0.0,0.0
2016-17,Takuma Asano,Arsenal,Forward,0,0,0,0,0,0,0.0,0.0,0.0
2016-17,Artur Boruc,Bournemouth,Goalkeeper,3150,0,0,2,0,9,0.0,10.0,815.4
2016-17,Adam Federici,Bournemouth,Goalkeeper,180,0,0,1,0,1,0.0,0.0,34.4
2016-17,Simon Francis,Bournemouth,Defender,2938,0,1,4,1,10,130.0,291.2,748.2
2016-17,Steve Cook,Bournemouth,Defender,3420,2,0,5,0,10,391.0,66.2,1123.0
2016-17,Charlie Daniels,Bournemouth,Defender,3060,4,3,1,0,10,302.0,528.3,698.2
2016-17,Adam Smith,Bournemouth,Defender,3101,1,5,6,0,8,242.0,509.8,566.6
2016-17,Tyrone Mings,Bournemouth,Defender,506,0,0,0,0,0,45.0,18.3,125.4
2016-17,Nathan Aké,Chelsea,Defender,834,3,1,1,0,3,147.0,55.5,373.2
2016-17,Harry Arter,Bournemouth,Midfielder,2956,1,4,11,1,9,343.0,533.0,482.0
2016-17,Marc Pugh,Bournemouth,Midfielder,1329,2,3,1,0,5,290.0,304.6,238.6
2016-17,Andrew Surman,Bournemouth,Midfielder,1800,0,1,1,1,4,90.0,223.8,256.8
2016-17,Eunan O'Kane,Bournemouth,Midfielder,0,0,0,0,0,0,0.0,0.0,0.0
2016-17,Shaun MacDonald,Bournemouth,Midfielder,0,0,0,0,0,0,0.0,0.0,0.0
2016-17,Junior Stanislas,Bournemouth,Midfielder,1467,7,6,1,0,4,418.0,406.9,454.6
2016-17,Dan Gosling,Bournemouth,Midfielder,1366,2,0,6,0,4,168.0,181.7,254.0
2016-17,Max Gradel,Bournemouth,Midfielder,134,0,0,3,0,0,70.0,18.2,24.6
2016-17,Emerson Hyndman,Bournemouth,Midfielder,0,0,0,0,0,0,0.0,0.0,0.0
2016-17,Jordon Ibe,Bournemouth,Midfielder,1055,0,0,0,0,3,235.0,268.3,113.0
2016-17,Lewis Cook,Bournemouth,Midfielder,432,0,2,1,0,1,28.0,89.8,100.8
2016-17,Joshua King,Bournemouth,Midfielder,2714,16,3,1,0,9,1007.0,474.6,835.2
2016-17,Callum Wilson,Bournemouth,Forward,1361,6,1,0,0,6,487.0,125.7,229.0
2016-17,Tokelo Rantie,Bournemouth,Forward,0,0,0,0,0,0,0.0,0.0,0.0
2016-17,Lewis Grabban,Bournemouth,Forward,60,0,1,0,0,0,17.0,11.8,24.2
2016-17,Benik Afobe,Bournemouth,Forward,1458,6,5,1,0,5,639.0,320.7,350.0
2016-17,Lys Mousset,Bournemouth,Forward,270,0,1,0,0,1,109.0,39.6,27.8
2016-17,Tom Heaton,Burnley,Goalkeeper,3150,0,0,1,0,10,0.0,30.3,1001.6
2016-17,Matthew Lowton,Burnley,Defender,3240,0,2,9,0,9,80.0,491.5,770.6
2016-17,Ben Mee,Burnley,Defender,3015,1,2,5,0,9,281.0,93.7,890.0
2016-17,Stephen Ward,Burnley,Defender,3230,1,1,5,0,8,128.0,409.9,644.6
2016-17,Michael Keane,Burnley,Defender,3150,2,1,4,0,10,557.0,96.7,930.8
2016-17,James Tarkowski,Burnley,Defender,568,0,0,1,0,1,81.0,53.4,146.2
2016-17,Tendayi Darikwa,Burnley,Defender,0,0,0,0,0,0,0.0,0.0,0.0
2016-17,David Jones,Burnley,Midfielder,86,0,0,1,0,0,2.0,11.7,0.0
2016-17,George Boyd,Burnley,Midfielder,2837,2,2,3,0,9,376.0,268.4,330.6
2016-17,Scott Arfield,Burnley,Midfielder,2103,1,2,3,0,6,393.0,556.5,210.2
2016-17,Dean Marney,Burnley,Midfielder,1764,1,2,7,0,5,73.0,88.7,244.4
2016-17,Fredrik Ulvestad,Burnley,Midfielder,0,0,0,0,0,0,0.0,0.0,0.0
2016-17,Michael Kightly,Burnley,Midfielder,104,0,0,0,0,0,4.0,9.3,2.8
2016-17,Sam Vokes,Burnley,Forward,2064,10,4,0,0,5,907.0,248.1,500.0
